             t,             x,             y,             z,       particle
              0,    11.68580382,    2.770249072,    11.92493295,              0
  0.01001251564,    10.79424834,    4.641038603,    11.93101202,              0
  0.02002503129,    10.17892737,    6.355903473,    12.12612724,              0
  0.03003754693,     9.79662498,    7.936780043,    12.47364087,              0
  0.04005006258,    9.610640487,    9.405883868,    12.95458047,              0
  0.05006257822,    9.590164825,    10.78187435,    13.56256924,              0
  0.06007509387,    9.709335777,    12.07788684,    14.29989727,              0
  0.07008760951,    9.946190883,    13.30056287,     15.1745022,              0
  0.08010012516,    10.28162808,    14.44959447,    16.19753233,              0
   0.0901126408,    10.69842472,    15.51755935,    17.38118015,              0
   0.1001251564,    11.18033818,    16.48999334,     18.7365317,              0
   0.1101376721,     11.7113037,    17.34575586,    20.27125392,              0
   0.1201501877,    12.27474892,    18.05781217,    21.98704013,              0
   0.1301627034,    12.85305524,    18.59458649,    23.87686208,              0
    0.140175219,    13.42720837,    18.92202586,    25.92223928,              0
   0.1501877347,    13.97669011,    19.00644546,    28.09092211,              0
   0.1602002503,    14.47966565,    18.81809285,    30.33555597,              0
    0.170212766,    14.91350837,    18.33517932,    32.59398195,              0
   0.1802252816,    15.25567546,    17.54791251,    34.79174819,              0
   0.1902377972,    15.48489917,    16.46188612,    36.84708996,              0
   0.2002503129,    15.58259786,    15.10011522,    38.67809199,              0
   0.2102628285,     15.5343496,    13.50311369,    40.21109666,              0
   0.2202753442,    15.33122601,    11.72671011,    41.38889385,              0
   0.2302878598,    14.97077442,    9.837734514,    42.17706389,              0
   0.2403003755,    14.45747043,    7.908165511,    42.56716958,              0
   0.2503128911,    13.80253994,    6.008664907,    42.57622892,              0
   0.2603254068,    13.02315243,    4.202542317,    42.24278631,              0
   0.2703379224,    12.14109142,    2.541055247,    41.62062737,              0
    0.280350438,     11.1810878,    1.060615105,     40.7715353,              0
   0.2903629537,    10.16904053,  -0.2179541015,    39.75842494,              0
   0.3003754693,    9.130341071,   -1.288348177,      38.639824,              0
    0.310387985,    8.088472146,   -2.156415791,     37.4661795,              0
   0.3204005006,    7.063983353,    -2.83710428,    36.27801232,              0
   0.3304130163,    6.073874589,   -3.351285057,    35.10562559,              0
   0.3404255319,    5.131358625,   -3.722883532,    33.96991773,              0
   0.3504380476,    4.245934409,   -3.976561237,    32.88383493,              0
   0.3604505632,    3.423684844,   -4.136035517,    31.85407122,              0
   0.3704630788,    2.667712808,   -4.223003497,    30.88273548,              0
   0.3804755945,    1.978641178,   -4.256569091,    29.96881791,              0
   0.3904881101,    1.355120151,   -4.253047127,    29.10938041,              0
